year	date collected	species	sex	weight (g)	plot	notes
2014	1/9/2014	DM	M	40	1	
2014	1/9/2014	DM	F	36	1	
2014	3/13/2014	DM	F	51	1	
2014	3/13/2014	DM	F	44	1	
2014	3/13/2014	DS	F	146	1	
2014	1/8/2014	N/A	N/A	N/A	2	
2014	1/8/2014	DM	M	44	2	
2014	1/8/2014	PF	F	7	2	
2014	1/8/2014	DM	M	45	2	
2014	1/8/2014	OT	N/A	N/A	2	
2014	1/8/2014	DS	M	157	2	scale not calibrated
2014	1/8/2014	OX	N/A	N/A	2	
2014	2/18/2014	N/A	M	218	2	scale not calibrated
2014	2/18/2014	PF	F	7	2	
2014	2/18/2014	DM	M	52	2	
2015	3/11/2015	PF	M	8	3	
2015	4/8/2015	N/A	F	N/A	3	
2015	5/18/2015	N/A	F	182	3	
2015	6/9/2015	OT	F	29	3	
2015	7/8/2015	N/A	F	115	3	
2015	7/8/2015	N/A	M	190	3	
1978	1/8/1978	DM	F	37	4	
1978	1/8/1978	DM	M	N/A	4	
1978	1/8/1978	DM	F	48	4	
1978	1/8/1978	DO	M	52	4	
1978	1/8/1978	OL	M	35	4	
2013	7/16/2013	DM	F	N/A	2	
2013	7/16/2013	DM	M	33	7	
2013	7/16/2013	DM	M	N/A	3	
2013	7/16/2013	DM	M	N/A	1	
2013	7/18/2013	DM	M	40	3	
2013	7/18/2013	DM	M	48	7	
2013	7/18/2013	DM	F	29	4	
2013	7/18/2013	DM	F	37	6	
2013	8/19/2013	DO	F	52	8	
2013	10/17/2013	DO	F	33	3	
2013	10/17/2013	DO	F	50	3	
2013	12/10/2013	DO	F	40	9	
2013	12/10/2013	DO	M	45	1	
2013	12/11/2013	DO	F	41	8	
2013	11/12/2013	DS	F	117	9	
2013	11/13/2013	DS	F	126	11	
2013	11/13/2013	DS	M	132	17	scale not calibrated
2013	11/13/2013	DS	F	113	14	scale not calibrated
2013	11/13/2013	DS	F	122	11	
2013	11/13/2013	DS	F	107	4	
2013	11/13/2013	DS	F	115	4	
